Designator,Mid X,Mid Y,Rotation,Layer
C1,108.204,-106.398,270.0,top
C2,88.4682,-113.284,0.0,top
C4,110.998,-114.554,180.0,top
C5,110.998,-112.014,180.0,top
J1,111.76,-96.52,180.0,top
J10,83.82,-96.52,180.0,top
J11,81.28,-96.52,180.0,top
J12,78.74,-96.52,180.0,top
J13,73.66,-96.52,180.0,top
J14,71.12,-96.52,180.0,top
J15,68.58,-96.52,180.0,top
J16,66.04,-96.52,180.0,top
J17,71.705,-111.57,0.0,top
J18,81.915,-113.665,90.0,top
J2,109.22,-96.52,180.0,top
J3,106.68,-96.52,180.0,top
J4,104.14,-96.52,180.0,top
J5,99.06,-96.52,180.0,top
J6,96.52,-96.52,180.0,top
J7,93.98,-96.52,180.0,top
J8,91.44,-96.52,180.0,top
J9,86.36,-96.52,180.0,top
U2,88.9,-107.188,90.0,top
